No,Transaction Number,Merchant ID,Tipe Transaksi,Nama Issuer,Nominal,Transaction Date,Status
519,B005213750,X611002018,Pembayaran,BCA,210000.0,2022-07-10 21:58:24,success
533,B006123393,X610005442,Pembayaran,DANA,30317.0,2022-07-31 22:27:40,success
553,B005213651,X612094437,Pembayaran,OVO,50000.0,2022-07-10 21:53:57,success
569,B005213606,X610110385,Pembayaran,OVO,50000.0,2022-07-10 21:52:20,success
599,B005213545,X614103567,Pembayaran,BCA,251900.0,2022-07-10 21:49:38,success
609,B006123258,X610110452,Pembayaran,LINKAJA,30000.0,2022-07-31 22:16:30,success
631,B005213459,X602136142,Pembayaran,BNI,150000.0,2022-07-10 21:46:44,success
650,B005742943,X605500074,Pembayaran,GOPAY,21000.0,2022-07-20 22:01:03,success
657,B005213380,X210339172,Pembayaran,BNI,7600.0,2022-07-10 21:43:27,success
657,B005213380,X210339172,Pembayaran,BNI,7600.0,2022-07-10 21:43:27,success
701,B006123104,X610110454,Pembayaran,DANA,55300.0,2022-07-31 22:03:34,success
783,B005213099,X606500215,Pembayaran,OVO,143000.0,2022-07-10 21:33:56,success
792,B006122959,X610153453,Pembayaran,GOPAY,50000.0,2022-07-31 21:55:46,success
842,B005742442,X610153754,Pembayaran,DANA,60000.0,2022-07-20 21:38:02,success
850,B005742413,X610115760,Pembayaran,DANA,25000.0,2022-07-20 21:37:10,success
904,B005212837,X610153453,Pembayaran,OVO,50555.0,2022-07-10 21:26:47,success
949,B006122696,X610153453,Pembayaran,GOPAY,20598.0,2022-07-31 21:41:56,success
955,B005742123,X605012167,Pembayaran,BRI,73700.0,2022-07-20 21:25:39,success
965,B005212716,X610002918,Pembayaran,BNI,7600.0,2022-07-10 21:23:54,success
973,B005212700,X610002918,Pembayaran,BNI,7600.0,2022-07-10 21:23:30,success
1023,B005741969,X617100493,Pembayaran,BCA,27500.0,2022-07-20 21:19:33,success
1049,B006122537,X610185789,Pembayaran,BCA,676600.0,2022-07-31 21:33:36,success
1051,B005212553,X618034503,Pembayaran,BCA,57600.0,2022-07-10 21:18:52,success
1065,B006122512,X617098022,Pembayaran,BRI,120500.0,2022-07-31 21:31:58,success
1114,B006122414,X610005442,Pembayaran,DANA,25000.0,2022-07-31 21:27:35,success
1120,B006122408,X610185789,Pembayaran,BCA,271000.0,2022-07-31 21:27:13,success
1145,B006122365,X610005870,Pembayaran,OVO,54000.0,2022-07-31 21:25:29,success
1176,B005741615,X610164527,Pembayaran,DANA,50000.0,2022-07-20 21:07:17,success
1290,B006122109,X608103423,Pembayaran,BRI,2000.0,2022-07-31 21:14:13,success
1307,B005212087,X609500196,Pembayaran,SHOPEEPAY,33500.0,2022-07-10 21:08:18,success
1364,B005741134,X207900763,Pembayaran,BNI,124000.0,2022-07-20 20:52:59,success
1429,B005740980,X602016472,Pembayaran,BRI,23000.0,2022-07-20 20:48:10,success
1440,B005740948,X608500752,Pembayaran,OVO,75000.0,2022-07-20 20:47:15,success
1440,B006121876,X618500100,Pembayaran,BNI,99500.0,2022-07-31 21:05:22,success
1548,B005740652,X612500042,Pembayaran,BCA,85000.0,2022-07-20 20:39:39,success
1674,B005211430,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:54:58,success
1675,B006121527,X12283644,Pembayaran,BCA,205000.0,2022-07-31 20:51:48,success
1754,B005740219,X617133390,Pembayaran,BSM,122500.0,2022-07-20 20:28:29,success
1765,B006121398,X601001828,Pembayaran,BCA,397000.0,2022-07-31 20:46:44,success
1783,B005740126,X612500042,Pembayaran,BNI,85000.0,2022-07-20 20:26:25,success
1801,B005211125,X203165527,Pembayaran,BNI,7600.0,2022-07-10 20:51:28,success
1808,B005740082,X605091492,Pembayaran,OVO,37400.0,2022-07-20 20:25:17,success
1811,B005211196,X604500302,Pembayaran,SHOPEEPAY,108500.0,2022-07-10 20:51:11,success
1816,B005211187,X603500125,Pembayaran,BNI,79500.0,2022-07-10 20:51:04,success
1860,B006121255,X608011105,Pembayaran,BCA,8500.0,2022-07-31 20:42:32,success
1860,B006121255,X608011105,Pembayaran,BCA,8500.0,2022-07-31 20:42:32,success
1880,B005211095,X604067390,Pembayaran,BCA,35000.0,2022-07-10 20:48:45,success
1909,B006121178,X610153755,Pembayaran,DANA,50000.0,2022-07-31 20:39:44,success
1913,B005211031,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:48:27,success
1956,B006121105,X618087767,Pembayaran,BSM,460050.0,2022-07-31 20:37:04,success
2000,B005210881,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:46:03,success
2006,B005739590,X607102250,Pembayaran,OVO,50000.0,2022-07-20 20:13:18,success
2006,B005739590,X607102250,Pembayaran,OVO,50000.0,2022-07-20 20:13:18,success
2011,B005210841,X214480931,Pembayaran,BNI,7600.0,2022-07-10 20:45:47,success
2027,B005210834,X610110453,Pembayaran,DANA,100000.0,2022-07-10 20:45:05,success
2084,B005210577,X214481046,Pembayaran,BNI,7600.0,2022-07-10 20:43:48,success
2094,B006120892,X612500042,Pembayaran,GOPAY,85000.0,2022-07-31 20:29:27,success
2105,B005210680,X217200690,Pembayaran,BNI,7600.0,2022-07-10 20:42:57,success
2130,B006120858,X610110452,Pembayaran,DANA,47000.0,2022-07-31 20:27:41,success
2143,B005210655,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:42:15,success
2224,B006120716,X608012724,Pembayaran,BNI,18700.0,2022-07-31 20:23:42,success
2282,B005738921,X615500501,Pembayaran,BNI,65000.0,2022-07-20 19:57:49,success
2307,B005738825,X211145313,Pembayaran,MANDIRI,216000.0,2022-07-20 19:56:34,success
2321,B006120576,X607099927,Pembayaran,MANDIRI,388140.0,2022-07-31 20:19:15,success
2321,B006120576,X607099927,Pembayaran,MANDIRI,388140.0,2022-07-31 20:19:15,success
2335,B005738798,X610153755,Pembayaran,DANA,200000.0,2022-07-20 19:55:07,success
2335,B005210348,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:37:32,success
2371,B005738724,X611062704,Pembayaran,LINKAJA,13000.0,2022-07-20 19:53:43,success
2429,B005738587,X610153453,Pembayaran,GOPAY,20259.0,2022-07-20 19:50:44,success
2435,B005738573,X602500223,Pembayaran,GOPAY,190500.0,2022-07-20 19:50:30,success
2507,B006120289,X614005839,Pembayaran,MANDIRI,79000.0,2022-07-31 20:10:43,success
2511,B005738416,X617097986,Pembayaran,GOPAY,21000.0,2022-07-20 19:47:07,success
2527,B005210006,X215147901,Pembayaran,BNI,7600.0,2022-07-10 20:33:32,success
2531,B005738362,X608103771,Pembayaran,BPD BALI,50000.0,2022-07-20 20:45:47,success
2579,B005209959,X212144133,Pembayaran,BNI,7600.0,2022-07-10 20:32:17,success
2608,B005209912,X214480931,Pembayaran,BNI,7600.0,2022-07-10 20:31:25,success
2609,B005738160,X610500447,Pembayaran,BCA,42500.0,2022-07-20 19:41:40,success
2612,B005209923,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:31:21,success
2619,B005738132,X609130896,Pembayaran,BCA,18000.0,2022-07-20 19:41:08,success
2625,B006120124,X617100501,Pembayaran,MANDIRI,59000.0,2022-07-31 20:05:47,success
2625,B006120124,X617100501,Pembayaran,MANDIRI,59000.0,2022-07-31 20:05:47,success
2634,B005738068,X214342040,Pembayaran,MANDIRI,315000.0,2022-07-20 19:40:48,success
2684,B005738000,X609415144,Pembayaran,BNI,55000.0,2022-07-20 19:38:29,success
2720,B005209728,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:28:39,success
2721,B005737898,X612063871,Pembayaran,BCA,214000.0,2022-07-20 19:36:10,success
2739,B005737849,X610110454,Pembayaran,BCA,100000.0,2022-07-20 19:34:32,success
2820,B005209537,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:25:43,success
2820,B005209537,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:25:43,success
2841,B005209510,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:25:13,success
2852,B005209488,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:24:51,success
2919,B005737429,X610110522,Pembayaran,DANA,125000.0,2022-07-20 19:26:50,success
2924,B005737417,X608079908,Pembayaran,BCA,500000.0,2022-07-20 19:26:40,success
2932,B005737392,X608006731,Pembayaran,BANK MEGA,6000.0,2022-07-20 19:26:01,success
2975,B005737287,X608048146,Pembayaran,BCA,230000.0,2022-07-20 19:24:19,success
3008,B005737211,X601183933,Pembayaran,BRI,53000.0,2022-07-20 19:22:26,success
3061,B005737073,X618003180,Pembayaran,SHOPEEPAY,15000.0,2022-07-20 19:20:07,success
3062,B005737054,X208002187,Pembayaran,BCA,333700.0,2022-07-20 19:19:55,success
3063,B005209180,X605045913,Pembayaran,BSM,4343500.0,2022-07-10 20:20:42,success
3074,B005209164,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:20:24,success
3083,B005209095,X208235259,Pembayaran,BNI,7600.0,2022-07-10 20:20:04,success
3085,B005737024,X608500723,Pembayaran,BNI,50000.0,2022-07-20 19:19:24,success
3110,B005736970,X606009897,Pembayaran,BNI,500000.0,2022-07-20 19:18:21,success
3121,B005736936,X610110453,Pembayaran,DANA,45000.0,2022-07-20 19:17:30,success
3167,B006119159,X618087702,Pembayaran,BCA,75000.0,2022-07-31 19:43:23,success
3178,B005736813,X604500022,Pembayaran,BCA,160000.0,2022-07-20 19:15:01,success
3185,B005208959,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:17:29,success
3185,B005208959,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:17:29,success
3187,B005736789,X602050559,Pembayaran,BCA,54000.0,2022-07-20 19:13:53,success
3194,B005736774,X609500178,Pembayaran,GOPAY,148500.0,2022-07-20 19:14:27,success
3194,B005736774,X609500178,Pembayaran,GOPAY,148500.0,2022-07-20 19:14:27,success
3195,B005736772,X603033800,Pembayaran,OVO,142000.0,2022-07-20 19:14:26,success
3222,B006119071,X612105361,Pembayaran,BNI,32000.0,2022-07-31 19:41:30,success
3250,B005208848,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:15:55,success
3291,B005736571,X612067718,Pembayaran,PT Bank Digital BCA,420000.0,2022-07-20 19:10:03,success
3303,B006118940,X618034382,Pembayaran,BRI,42000.0,2022-07-31 19:38:04,success
3312,B006118926,X609500176,Pembayaran,BCA,121000.0,2022-07-31 19:36:54,success
3333,B005208716,X602050505,Pembayaran,BCA,130000.0,2022-07-10 20:12:54,success
3379,B005736372,X610110384,Pembayaran,DANA,50000.0,2022-07-20 19:06:34,success
3434,B005208549,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:11:33,success
3463,B005208480,X601073645,Pembayaran,BNI,80000.0,2022-07-10 20:10:46,success
3492,B005208431,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:10:14,success
3497,B005736052,X612500042,Pembayaran,MANDIRI,170000.0,2022-07-20 19:01:21,success
3501,B005736058,X8064420,Pembayaran,BNI,156150.0,2022-07-20 19:01:09,success
3548,B006118539,X601073387,Pembayaran,SINARMAS,90000.0,2022-07-31 19:28:40,success
3555,B005208329,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:08:54,success
3559,B006118525,X607091116,Pembayaran,OVO,48000.0,2022-07-31 19:28:22,success
3559,B006118525,X607091116,Pembayaran,OVO,48000.0,2022-07-31 19:28:22,success
3623,B006118417,X618004898,Pembayaran,BCA,105000.0,2022-07-31 19:26:16,success
3642,B005208182,X610005448,Pembayaran,DANA,50000.0,2022-07-10 20:06:58,success
3642,B005208182,X610005448,Pembayaran,DANA,50000.0,2022-07-10 20:06:58,success
3648,B005208166,X608500709,Pembayaran,MANDIRI,84000.0,2022-07-10 20:06:53,success
3692,B005735562,X610153755,Pembayaran,DANA,50000.0,2022-07-20 18:50:44,success
3694,B005207800,X204204457,Pembayaran,BNI,7600.0,2022-07-10 20:06:02,success
3694,B005207800,X204204457,Pembayaran,BNI,7600.0,2022-07-10 20:06:02,success
3769,B005207969,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:04:14,success
3780,B005207954,X615033054,Pembayaran,SHOPEEPAY,102000.0,2022-07-10 20:03:57,success
3782,B005735316,X615118876,Pembayaran,BCA,100050.0,2022-07-20 18:44:48,success
3806,B005207926,X610002918,Pembayaran,BNI,7600.0,2022-07-10 20:03:30,success
3857,B006118025,X606193423,Pembayaran,SHOPEEPAY,40000.0,2022-07-31 19:16:54,success
3858,B005207831,X610002918,Pembayaran,BNI,67600.0,2022-07-10 20:02:20,success
3861,B005735116,X606064511,Pembayaran,BPD DIY,83500.0,2022-07-20 18:41:30,success
3863,B006118018,X615500333,Pembayaran,BRI,91500.0,2022-07-31 19:16:28,success
3863,B006118018,X615500333,Pembayaran,BRI,91500.0,2022-07-31 19:16:28,success
3873,B006117981,X214901230,Pembayaran,BNI,57000.0,2022-07-31 19:16:20,success
3952,B005207618,X215148347,Pembayaran,BNI,7600.0,2022-07-10 20:00:08,success
3963,B006117816,X601500090,Pembayaran,OVO,3000.0,2022-07-31 19:12:50,success
3974,B005207634,X607500180,Pembayaran,BNI,203500.0,2022-07-10 19:59:50,success
4025,B006117732,X610153755,Pembayaran,DANA,30000.0,2022-07-31 19:10:43,success
4047,B005207453,X212144083,Pembayaran,BNI,7600.0,2022-07-10 19:58:15,success
4063,B006117658,X210900268,Pembayaran,GOPAY,25000.0,2022-07-31 19:09:20,success
4120,B005734422,X601500162,Pembayaran,BNI,1.0,2022-07-20 18:26:10,success
4136,B005207326,X615118876,Pembayaran,MANDIRI,165600.0,2022-07-10 19:56:03,success
4136,B005207326,X615118876,Pembayaran,MANDIRI,165600.0,2022-07-10 19:56:03,success
4245,B005734082,X612098365,Pembayaran,BRI,57000.0,2022-07-20 18:17:31,success
4307,B005733936,X609006636,Pembayaran,BRI,151000.0,2022-07-20 18:15:11,success
4307,B005733936,X609006636,Pembayaran,BRI,151000.0,2022-07-20 18:15:11,success
4313,B005733926,X614052083,Pembayaran,GOPAY,38000.0,2022-07-20 18:15:23,success
4326,B006117230,X618089502,Pembayaran,BRI,220000.0,2022-07-31 18:59:49,success
4354,B005206957,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:51:19,success
4385,B006117144,X607000900,Pembayaran,BRI,672000.0,2022-07-31 18:57:59,success
4454,B006117018,X607104593,Pembayaran,GOPAY,415000.0,2022-07-31 18:54:37,success
4465,B005206775,X618500108,Pembayaran,BNI,144000.0,2022-07-10 19:49:09,success
4493,B005206726,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:48:27,success
4493,B005206726,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:48:27,success
4503,B006116927,X612003049,Pembayaran,BCA,145600.0,2022-07-31 18:50:45,success
4510,B005733470,X610153753,Pembayaran,OVO,31500.0,2022-07-20 18:04:25,success
4562,B005733346,X610164530,Pembayaran,DANA,50000.0,2022-07-20 18:01:11,success
4590,B005733275,X610111560,Pembayaran,MANDIRI,6000.0,2022-07-20 17:59:31,success
4590,B005733275,X610111560,Pembayaran,MANDIRI,6000.0,2022-07-20 17:59:31,success
4600,B006116767,X208231480,Pembayaran,PERMATA,659000.0,2022-07-31 18:48:37,success
4621,B005733195,X608011397,Pembayaran,BNI,80900.0,2022-07-20 17:57:44,success
4621,B005733195,X608011397,Pembayaran,BNI,80900.0,2022-07-20 17:57:44,success
4699,B006116621,X612003049,Pembayaran,BNI,90300.0,2022-07-31 18:44:37,success
4777,B005206282,X610005432,Pembayaran,DANA,86000.0,2022-07-10 19:42:38,success
4795,B006116477,X608002899,Pembayaran,MANDIRI,27000.0,2022-07-31 18:41:05,success
4802,B005732679,X612500042,Pembayaran,BCA,85000.0,2022-07-20 17:49:15,success
4817,B005732761,X605078484,Pembayaran,BCA,47300.0,2022-07-20 17:47:49,success
4821,B005206193,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:41:32,success
4825,B005206187,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:41:30,success
4833,B005206175,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:41:19,success
4842,B006116401,X607102092,Pembayaran,BCA,86000.0,2022-07-31 18:39:31,success
4858,B006116376,X602062542,Pembayaran,BRI,108000.0,2022-07-31 18:38:31,success
4879,B005206091,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:40:09,success
4945,B005205989,X612098369,Pembayaran,GOPAY,18000.0,2022-07-10 19:38:40,success
4971,B005732387,X610110522,Pembayaran,DANA,25000.0,2022-07-20 17:39:10,success
4996,B005732044,X601500090,Pembayaran,OVO,4000.0,2022-07-20 17:37:48,success
5006,B005205881,X602136141,Pembayaran,BNI,563000.0,2022-07-10 19:37:07,success
5011,B005732022,X607097670,Pembayaran,GOPAY,66000.0,2022-07-20 17:36:58,success
5054,B005205797,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:35:56,success
5109,B006115979,X615500408,Pembayaran,GOPAY,80500.0,2022-07-31 18:29:13,success
5112,B006115976,X610185789,Pembayaran,BCA,93000.0,2022-07-31 18:28:58,success
5136,B006115933,X610027696,Pembayaran,BCA,5000.0,2022-07-31 18:27:46,success
5145,B006115916,X610027706,Pembayaran,BCA,25000.0,2022-07-31 18:26:28,success
5178,B005205518,X207036229,Pembayaran,BNI,7600.0,2022-07-10 19:33:11,success
5181,B005205569,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:33:07,success
5188,B005205515,X210338810,Pembayaran,BNI,7600.0,2022-07-10 19:32:57,success
5188,B005205515,,Pembayaran,BNI,7600.0,2022-07-10 19:32:57,success
5220,B006115763,X607102092,Pembayaran,BCA,68000.0,2022-07-31 18:23:44,success
5230,B005205452,X212144091,Pembayaran,BNI,7600.0,2022-07-10 19:32:29,success
5245,B006115730,X610161995,Pembayaran,BCA,487000.0,2022-07-31 18:22:48,success
5257,B006115710,X616063790,Pembayaran,BNI,93000.0,2022-07-31 18:22:20,success
5264,B005731455,X610111560,Pembayaran,BCA,13000.0,2022-07-20 17:23:29,success
5275,B005731432,X601113796,Pembayaran,BSM,3300000.0,2022-07-20 17:23:50,success
5276,B005205407,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:31:23,success
5288,B005205389,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:31:10,success
5294,B005205379,X607500066,Pembayaran,BRI,421286.0,2022-07-10 19:29:15,success
5333,B006115586,X610027602,Pembayaran,BCA,53900.0,2022-07-31 18:19:38,success
5333,B006115586,X610027602,Pembayaran,BCA,53900.0,2022-07-31 18:19:38,success
5371,B005731201,X608101191,Pembayaran,BCA,71000.0,2022-07-20 17:19:01,success
5381,B005205228,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:29:16,success
5389,B005731141,X601500090,Pembayaran,OVO,3000.0,2022-07-20 17:17:58,success
5427,B005205084,X210339107,Pembayaran,BNI,7600.0,2022-07-10 19:28:34,success
5490,B006115352,X609127201,Pembayaran,BCA,60000.0,2022-07-31 18:14:10,success
5522,B006115291,X610027649,Pembayaran,BCA,125000.0,2022-07-31 18:12:46,success
5522,B006115291,X610027649,Pembayaran,BCA,125000.0,2022-07-31 18:12:46,success
5559,B005730750,X602500264,Pembayaran,BNI,200000.0,2022-07-20 17:09:56,success
5598,B005204863,X605500071,Pembayaran,BNI,137500.0,2022-07-10 19:25:01,success
5607,B005730651,X604500109,Pembayaran,BCA,46620.0,2022-07-20 17:07:43,success
5646,B005204769,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:23:56,success
5663,B006115075,X610185789,Pembayaran,BCA,676600.0,2022-07-31 18:07:24,success
5674,B005730516,X615033380,Pembayaran,BNI,36000.0,2022-07-20 17:05:13,success
5702,B005204637,X214481020,Pembayaran,BNI,7600.0,2022-07-10 19:22:50,success
5841,B005730162,X606500255,Pembayaran,DANA,15000.0,2022-07-20 16:57:15,success
5843,B005730160,X610110384,Pembayaran,DANA,20000.0,2022-07-20 16:57:02,success
5894,B005204352,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:19:14,success
5913,B005729994,X601500161,Pembayaran,BNI,1.0,2022-07-20 16:53:39,success
5915,B005729992,X608099957,Pembayaran,JENIUS,80000.0,2022-07-20 16:53:32,success
5944,B006114658,X610110452,Pembayaran,LINKAJA,100000.0,2022-07-31 17:57:05,success
5958,B005204266,X602500035,Pembayaran,BCA,85000.0,2022-07-10 19:18:02,success
5964,B005729869,X616005918,Pembayaran,BRI,154100.0,2022-07-20 16:50:34,success
6042,B005204134,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:16:57,success
6051,B006114492,X617500171,Pembayaran,LINKAJA,17500.0,2022-07-31 17:52:36,success
6083,B006114445,X605068143,Pembayaran,GOPAY,40000.0,2022-07-31 17:51:43,success
6093,B005204054,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:16:11,success
6109,B005204036,X609500196,Pembayaran,SHOPEEPAY,368500.0,2022-07-10 19:15:58,success
6111,B005204031,X612100348,Pembayaran,BCA,120000.0,2022-07-10 19:15:52,success
6131,B005203990,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:15:32,success
6153,B005729397,X608500700,Pembayaran,BNI,175000.0,2022-07-20 16:40:59,success
6167,B006114329,X209177120,Pembayaran,BCA,270500.0,2022-07-31 17:47:36,success
6236,B006114213,X612500108,Pembayaran,BRI,80500.0,2022-07-31 17:45:28,success
6241,B005203814,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:13:36,success
6251,B005203800,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:13:30,success
6255,B005473703,X603500128,Refund,OVO,82000.0,2022-07-20 16:35:44,success
6258,B005729111,X617098935,Pembayaran,MANDIRI,330000.0,2022-07-20 16:35:38,success
6258,B005729111,X617098935,Pembayaran,MANDIRI,330000.0,2022-07-20 16:35:38,success
6259,B005203785,X610153753,Pembayaran,DANA,20000.0,2022-07-10 19:13:12,success
6259,B005203785,X610153753,Pembayaran,DANA,20000.0,2022-07-10 19:13:12,success
6316,B005045220,X603500091,Refund,BCA,50000.0,2022-07-20 16:33:02,success
6342,B006114032,X604500327,Pembayaran,BANK KEB HANA,101000.0,2022-07-31 17:41:29,success
6344,B005203655,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:12:05,success
6348,B006114026,X607500180,Pembayaran,BRI,183500.0,2022-07-31 17:40:54,success
6349,B005728888,X601500159,Pembayaran,BNI,1.0,2022-07-20 16:31:20,success
6370,B005203604,X605025444,Pembayaran,BNI,36000.0,2022-07-10 19:11:41,success
6407,B006113910,X618500100,Pembayaran,BNI,42500.0,2022-07-31 17:38:24,success
6423,B005728708,X606500245,Pembayaran,BCA,97000.0,2022-07-20 16:27:37,success
6430,B005728691,X610110452,Pembayaran,DANA,10000.0,2022-07-20 16:27:04,success
6479,B005203402,X618034503,Pembayaran,BNI,158500.0,2022-07-10 19:09:45,success
6501,B005728506,X610111560,Pembayaran,BCA,3000.0,2022-07-20 16:22:42,success
6503,B005728500,X601500164,Pembayaran,BNI,1.0,2022-07-20 16:23:01,success
6519,B006113720,X608099263,Pembayaran,BNI,409757.0,2022-07-31 17:33:55,success
6519,B006113720,X608099263,Pembayaran,BNI,409757.0,2022-07-31 17:33:55,success
6521,B006113717,X606009903,Pembayaran,BNI,25000.0,2022-07-31 17:33:51,success
6591,B006113611,X610185789,Pembayaran,BCA,199000.0,2022-07-31 17:29:55,success
6653,B005728115,X610164530,Pembayaran,DANA,50000.0,2022-07-20 16:14:40,success
6653,B005728115,X610164530,Pembayaran,DANA,50000.0,2022-07-20 16:14:40,success
6687,B005728035,X610111560,Pembayaran,BCA,30000.0,2022-07-20 16:12:45,success
6691,B005202960,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:06:09,success
6709,B006113420,X610164532,Pembayaran,DANA,25000.0,2022-07-31 17:26:33,success
6731,B005202855,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:05:21,success
6748,B006113358,X603104556,Pembayaran,BCA,293000.0,2022-07-31 17:24:04,success
6776,B006113312,X615044746,Pembayaran,DANA,202000.0,2022-07-31 17:24:02,success
6838,B006113215,X615118140,Pembayaran,CIMB NIAGA,255300.0,2022-07-31 17:22:06,success
6890,B006113129,X204111462,Pembayaran,OVO,30000.0,2022-07-31 17:20:15,success
6896,B006113125,X602134124,Pembayaran,SHOPEEPAY,80000.0,2022-07-31 17:19:52,success
6964,B005202330,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:00:54,success
6964,B005202330,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:00:54,success
6975,B005727360,X616500023,Pembayaran,MANDIRI,113000.0,2022-07-20 15:57:19,success
6988,B005202288,X610002918,Pembayaran,BNI,7600.0,2022-07-10 19:00:30,success
7017,B006112929,X617097497,Pembayaran,LINKAJA,53900.0,2022-07-31 17:14:50,success
7042,B005202186,X610002918,Pembayaran,BNI,7600.0,2022-07-10 18:59:36,success
7080,B005202099,X610002918,Pembayaran,BNI,7600.0,2022-07-10 18:58:56,success
7156,B005201972,X612094445,Pembayaran,DANA,200000.0,2022-07-10 18:57:45,success
7156,B005201972,X612094445,Pembayaran,DANA,200000.0,2022-07-10 18:57:45,success
7178,B005201933,X612500093,Pembayaran,DANA,22000.0,2022-07-10 18:57:19,success
